Company Symbol,Period,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit Before Tax,Tax %,Net Profit,EPS in Rs,PDF URL
M&M,Sep 2023,"33,892","27,642","6,249",18%,"1,065","1,719","1,128","4,468",18%,"3,684",28.21,https://www.screener.in/company/source/quarter/1973/9/2023/
M&M,Dec 2023,"34,436","28,706","5,730",17%,812,"1,835","1,139","3,568",30%,"2,484",18.88,https://www.screener.in/company/source/quarter/1973/12/2023/
M&M,Mar 2024,"35,299","29,075","6,224",18%,756,"1,945","1,123","3,912",24%,"2,977",21.38,https://www.screener.in/company/source/quarter/1973/3/2024/
M&M,Jun 2024,"35,452","28,848","6,604",19%,750,"1,989","1,335","4,030",22%,"3,125",22.15,https://www.screener.in/company/source/quarter/1973/6/2024/
M&M,Sep 2024,"37,218","29,975","7,243",19%,733,"2,108","1,248","4,621",23%,"3,546",26.40,https://www.screener.in/company/source/quarter/1973/9/2024/
M&M,Dec 2024,"37,924","30,790","7,133",19%,"1,126","2,217","1,302","4,740",29%,"3,361",25.50,https://www.screener.in/company/source/quarter/1973/12/2024/
M&M,Mar 2025,"41,470","33,239","8,231",20%,719,"2,362","1,495","5,092",29%,"3,624",25.58,https://www.screener.in/company/source/quarter/1973/3/2025/
M&M,Jun 2025,"42,599","34,688","7,911",19%,"1,141","2,397","2,029","4,627",23%,"3,542",26.50,https://www.screener.in/company/source/quarter/1973/6/2025/
GRANULES,Sep 2022,"1,020",808,212,21%,5,7,43,166,23%,128,5.14,https://www.screener.in/company/source/quarter/1196/9/2022/
GRANULES,Dec 2022,"1,151",908,243,21%,5,13,44,190,24%,145,5.84,https://www.screener.in/company/source/quarter/1196/12/2022/
GRANULES,Mar 2023,"1,146",915,231,20%,1,17,48,167,26%,124,5.14,https://www.screener.in/company/source/quarter/1196/3/2023/
GRANULES,Jun 2023,"1,196",967,228,19%,3,19,49,164,27%,120,4.94,https://www.screener.in/company/source/quarter/1196/6/2023/
GRANULES,Sep 2023,986,849,137,14%,0,22,49,65,27%,48,1.98,https://www.screener.in/company/source/quarter/1196/9/2023/
GRANULES,Dec 2023,"1,189",977,213,18%,2,26,53,136,25%,102,4.21,https://www.screener.in/company/source/quarter/1196/12/2023/
GRANULES,Mar 2024,"1,156",905,250,22%,1,29,52,170,26%,126,5.18,https://www.screener.in/company/source/quarter/1196/3/2024/
GRANULES,Jun 2024,"1,176",920,256,22%,2,29,53,176,26%,130,5.35,https://www.screener.in/company/source/quarter/1196/6/2024/
GRANULES,Sep 2024,"1,180",921,259,22%,2,27,53,181,26%,135,5.56,https://www.screener.in/company/source/quarter/1196/9/2024/
GRANULES,Dec 2024,967,763,203,21%,3,26,53,128,24%,97,4.01,https://www.screener.in/company/source/quarter/1196/12/2024/
GRANULES,Mar 2025,"1,138",907,230,20%,6,27,57,153,23%,118,4.85,https://www.screener.in/company/source/quarter/1196/3/2025/
GRANULES,Jun 2025,"1,197",945,252,21%,33,24,64,198,23%,152,6.27,https://www.screener.in/company/source/quarter/1196/6/2025/
AFCONS,Sep 2023,"3,171","2,867",304,10%,50,116,111,128,29%,91,12.64,https://www.screener.in/company/source/quarter/1285138/9/2023/
AFCONS,Dec 2023,"3,334","3,002",332,10%,100,157,114,160,35%,104,14.47,https://www.screener.in/company/source/quarter/1285138/12/2023/
AFCONS,Mar 2024,"3,126","2,751",374,12%,56,129,124,178,39%,110,15.24,https://www.screener.in/company/source/quarter/1285138/3/2024/
AFCONS,Jun 2024,"3,636","3,282",355,10%,173,176,146,207,30%,145,4.25,https://www.screener.in/company/source/quarter/1285138/6/2024/
AFCONS,Sep 2024,"3,154","2,801",353,11%,59,147,130,135,32%,92,2.69,https://www.screener.in/company/source/quarter/1285138/9/2024/
AFCONS,Dec 2024,"2,960","2,615",344,12%,130,164,120,191,29%,135,3.97,https://www.screener.in/company/source/quarter/1285138/12/2024/
AFCONS,Mar 2025,"3,211","2,847",364,11%,121,169,117,200,26%,149,4.05,https://www.screener.in/company/source/quarter/1285138/3/2025/
AFCONS,Jun 2025,"3,223","2,930",294,9%,164,150,124,184,40%,111,3.02,https://www.screener.in/company/source/quarter/1285138/6/2025/
HLVLTD,Jun 2018,85,46,40,46%,48,9,9,70,12%,62,0.33,https://www.screener.in/company/source/quarter/1368/6/2018/
HLVLTD,Sep 2018,35,106,-71,-202%,7,0,3,-67,0%,-67,-1.06,https://www.screener.in/company/source/quarter/1368/9/2018/
HLVLTD,Mar 2019,36,110,-73,-202%,9,0,2,-67,0%,-67,-1.06,https://www.screener.in/company/source/quarter/1368/3/2019/
HLVLTD,Jun 2019,43,42,1,2%,-28,0,3,-30,0%,-30,-0.47,https://www.screener.in/company/source/quarter/1368/6/2019/
HLVLTD,Sep 2019,32,43,-11,-33%,6,0,3,-8,0%,-8,-0.12,https://www.screener.in/company/source/quarter/1368/9/2019/
HLVLTD,Dec 2019,33,40,-7,-22%,27,0,3,17,0%,17,0.26,https://www.screener.in/company/source/quarter/1368/12/2019/
HLVLTD,Mar 2020,44,55,-11,-26%,215,0,2,201,0%,201,3.19,https://www.screener.in/company/source/quarter/1368/3/2020/
CHOICEIN,Dec 2022,77,61,16,20%,2,5,1,12,29%,8,0.42,https://www.screener.in/company/source/quarter/644/12/2022/
CHOICEIN,Mar 2023,96,72,24,25%,2,7,1,18,24%,14,0.71,https://www.screener.in/company/source/quarter/644/3/2023/
CHOICEIN,Jun 2023,137,92,45,33%,2,6,1,40,25%,30,1.52,https://www.screener.in/company/source/quarter/644/6/2023/
CHOICEIN,Sep 2023,138,102,36,26%,2,7,1,29,28%,21,1.08,https://www.screener.in/company/source/quarter/644/9/2023/
CHOICEIN,Dec 2023,191,142,49,25%,3,10,2,40,25%,30,1.48,https://www.screener.in/company/source/quarter/644/12/2023/
CHOICEIN,Mar 2024,207,141,67,32%,3,11,2,56,28%,40,1.98,https://www.screener.in/company/source/quarter/644/3/2024/
CHOICEIN,Jun 2024,215,147,67,31%,2,12,2,55,29%,39,1.93,https://www.screener.in/company/source/quarter/644/6/2024/
CHOICEIN,Sep 2024,201,148,53,26%,5,13,2,43,26%,32,1.48,https://www.screener.in/company/source/quarter/644/9/2024/
CHOICEIN,Dec 2024,247,172,76,31%,2,15,2,61,23%,46,2.31,https://www.screener.in/company/source/quarter/644/12/2024/
CHOICEIN,Mar 2025,209,150,60,28%,2,16,2,43,29%,31,1.47,https://www.screener.in/company/source/quarter/644/3/2025/
CHOICEIN,Jun 2025,253,157,96,38%,2,22,3,74,28%,54,2.59,https://www.screener.in/company/source/quarter/644/6/2025/
CHOICEIN,Sep 2025,234,151,83,35%,4,21,3,63,24%,48,2.19,https://www.screener.in/company/source/quarter/644/9/2025/
GODREJCP,Sep 2022,"3,125","2,604",521,17%,26,35,57,454,24%,345,3.37,https://www.screener.in/company/source/quarter/1164/9/2022/
GODREJCP,Dec 2022,"3,392","2,850",542,16%,17,48,53,458,22%,359,3.51,https://www.screener.in/company/source/quarter/1164/12/2022/
GODREJCP,Mar 2023,"3,599","2,872",727,20%,36,40,57,665,18%,546,5.34,https://www.screener.in/company/source/quarter/1164/3/2023/
GODREJCP,Jun 2023,"3,200","2,559",641,20%,36,53,69,556,19%,452,4.42,https://www.screener.in/company/source/quarter/1164/6/2023/
GODREJCP,Sep 2023,"3,449","2,806",643,19%,-13,74,76,480,34%,319,3.12,https://www.screener.in/company/source/quarter/1164/9/2023/
GODREJCP,Dec 2023,"3,602","2,898",704,20%,53,77,61,619,30%,433,4.23,https://www.screener.in/company/source/quarter/1164/12/2023/
GODREJCP,Mar 2024,"3,660","2,819",841,23%,63,67,54,783,26%,581,5.68,https://www.screener.in/company/source/quarter/1164/3/2024/
GODREJCP,Jun 2024,"3,386","2,630",756,22%,"-2,312",78,50,"-1,684",12%,"-1,893",-18.51,https://www.screener.in/company/source/quarter/1164/6/2024/
GODREJCP,Sep 2024,"3,332","2,607",724,22%,57,88,49,644,30%,451,4.41,https://www.screener.in/company/source/quarter/1164/9/2024/
GODREJCP,Dec 2024,"3,666","2,907",760,21%,80,83,50,707,30%,491,4.80,https://www.screener.in/company/source/quarter/1164/12/2024/
GODREJCP,Mar 2025,"3,768","3,012",756,20%,77,90,62,682,27%,498,4.87,https://www.screener.in/company/source/quarter/1164/3/2025/
GODREJCP,Jun 2025,"3,598","2,839",759,21%,42,90,73,639,36%,412,4.03,https://www.screener.in/company/source/quarter/1164/6/2025/
ADSL,Sep 2022,153,139,14,9%,1,1,4,10,30%,7,1.32,https://www.screener.in/company/source/quarter/137/9/2022/
ADSL,Dec 2022,167,142,26,15%,3,1,4,23,23%,18,3.27,https://www.screener.in/company/source/quarter/137/12/2022/
ADSL,Mar 2023,174,144,30,17%,2,1,4,26,27%,19,3.53,https://www.screener.in/company/source/quarter/137/3/2023/
ADSL,Jun 2023,166,148,19,11%,-47,1,4,-34,11%,-37,-6.81,https://www.screener.in/company/source/quarter/137/6/2023/
ADSL,Sep 2023,169,151,18,11%,0,1,4,12,31%,9,1.56,https://www.screener.in/company/source/quarter/137/9/2023/
ADSL,Dec 2023,170,150,21,12%,0,1,4,16,26%,11,2.08,https://www.screener.in/company/source/quarter/137/12/2023/
ADSL,Mar 2024,171,150,21,12%,1,1,4,16,27%,12,2.12,https://www.screener.in/company/source/quarter/137/3/2024/
ADSL,Jun 2024,177,152,24,14%,0,2,4,19,25%,14,2.55,https://www.screener.in/company/source/quarter/137/6/2024/
ADSL,Sep 2024,179,160,19,11%,1,1,5,14,26%,10,1.88,https://www.screener.in/company/source/quarter/137/9/2024/
ADSL,Dec 2024,203,184,19,9%,4,3,5,16,26%,12,2.08,https://www.screener.in/company/source/quarter/137/12/2024/
ADSL,Mar 2025,221,196,25,11%,2,2,5,20,12%,18,3.15,https://www.screener.in/company/source/quarter/137/3/2025/
ADSL,Jun 2025,204,214,-9,-5%,38,2,15,11,168%,-8,-1.35,https://www.screener.in/company/source/quarter/137/6/2025/
MRPL,Dec 2022,"24,608","26,603","-1,995",-8%,42,315,297,"-2,566",-31%,"-1,779",-10.15,https://www.screener.in/company/source/quarter/1996/12/2022/
MRPL,Mar 2023,"26,557","26,270",287,1%,53,338,298,-295,-34%,-195,-1.11,https://www.screener.in/company/source/quarter/1996/3/2023/
MRPL,Jun 2023,"25,365","21,875","3,490",14%,91,330,296,"2,955",35%,"1,913",10.92,https://www.screener.in/company/source/quarter/1996/6/2023/
MRPL,Sep 2023,"21,058","18,989","2,068",10%,54,267,294,"1,561",35%,"1,015",5.79,https://www.screener.in/company/source/quarter/1996/9/2023/
MRPL,Dec 2023,"19,353","17,215","2,138",11%,67,311,296,"1,598",34%,"1,052",6.00,https://www.screener.in/company/source/quarter/1996/12/2023/
MRPL,Mar 2024,"24,667","23,508","1,159",5%,45,274,334,596,34%,392,2.24,https://www.screener.in/company/source/quarter/1996/3/2024/
MRPL,Jun 2024,"25,329","22,990","2,339",9%,23,262,333,"1,768",36%,"1,138",6.50,https://www.screener.in/company/source/quarter/1996/6/2024/
MRPL,Sep 2024,"23,247","22,641",606,3%,52,214,335,108,32%,73,0.42,https://www.screener.in/company/source/quarter/1996/9/2024/
MRPL,Dec 2024,"24,968","25,442",-474,-2%,45,285,342,"-1,056",-34%,-697,-3.98,https://www.screener.in/company/source/quarter/1996/12/2024/
MRPL,Mar 2025,"21,871","20,840","1,031",5%,38,264,332,474,35%,309,1.76,https://www.screener.in/company/source/quarter/1996/3/2025/
MRPL,Jun 2025,"24,596","23,466","1,130",5%,45,245,338,592,37%,371,2.11,https://www.screener.in/company/source/quarter/1996/6/2025/
MRPL,Sep 2025,"17,356","17,177",180,1%,39,257,363,-402,-33%,-271,-1.54,https://www.screener.in/company/source/quarter/1996/9/2025/
SMCGLOBAL,Sep 2022,290,220,71,24%,1,17,5,49,25%,37,3.27,https://www.screener.in/company/source/quarter/1274832/9/2022/
SMCGLOBAL,Dec 2022,300,236,65,22%,1,20,5,41,27%,30,2.81,https://www.screener.in/company/source/quarter/1274832/12/2022/
SMCGLOBAL,Mar 2023,318,246,72,22%,1,26,6,41,23%,32,3.05,https://www.screener.in/company/source/quarter/1274832/3/2023/
SMCGLOBAL,Jun 2023,304,241,63,21%,1,27,6,31,29%,22,2.07,https://www.screener.in/company/source/quarter/1274832/6/2023/
SMCGLOBAL,Sep 2023,311,233,79,25%,1,33,7,40,25%,30,2.87,https://www.screener.in/company/source/quarter/1274832/9/2023/
SMCGLOBAL,Dec 2023,389,295,94,24%,2,35,9,52,23%,40,3.78,https://www.screener.in/company/source/quarter/1274832/12/2023/
SMCGLOBAL,Mar 2024,428,315,113,26%,3,40,8,67,23%,52,4.93,https://www.screener.in/company/source/quarter/1274832/3/2024/
SMCGLOBAL,Jun 2024,509,371,139,27%,1,47,8,85,22%,66,6.30,https://www.screener.in/company/source/quarter/1274832/6/2024/
SMCGLOBAL,Sep 2024,448,322,126,28%,2,51,8,69,23%,53,5.06,https://www.screener.in/company/source/quarter/1274832/9/2024/
SMCGLOBAL,Dec 2024,451,333,118,26%,2,52,7,61,25%,46,4.33,https://www.screener.in/company/source/quarter/1274832/12/2024/
SMCGLOBAL,Mar 2025,455,344,112,25%,2,51,7,56,21%,44,4.17,https://www.screener.in/company/source/quarter/1274832/3/2025/
SMCGLOBAL,Jun 2025,421,358,63,15%,4,53,8,6,33%,4,0.36,https://www.screener.in/company/source/quarter/1274832/6/2025/
KGDENIM,Sep 2022,190.70,185.14,5.56,2.92%,0.72,5.86,3.72,-3.30,-28.18%,-2.37,-0.94,https://www.screener.in/company/source/quarter/1672/9/2022/
KGDENIM,Dec 2022,132.91,132.42,0.49,0.37%,1.84,5.85,3.74,-7.26,-31.27%,-4.99,-1.94,https://www.screener.in/company/source/quarter/1672/12/2022/
KGDENIM,Mar 2023,117.60,119.24,-1.64,-1.39%,1.08,4.84,3.78,-9.18,-17.21%,-7.60,-2.87,https://www.screener.in/company/source/quarter/1672/3/2023/
KGDENIM,Jun 2023,91.35,98.59,-7.24,-7.93%,0.94,6.66,4.59,-17.55,-25.93%,-13.00,-5.18,https://www.screener.in/company/source/quarter/1672/6/2023/
KGDENIM,Sep 2023,65.29,68.85,-3.56,-5.45%,0.46,5.50,3.89,-12.49,-25.62%,-9.29,-3.63,https://www.screener.in/company/source/quarter/1672/9/2023/
KGDENIM,Dec 2023,67.12,66.79,0.33,0.49%,0.80,5.47,3.85,-8.19,-25.15%,-6.13,-2.04,https://www.screener.in/company/source/quarter/1672/12/2023/
KGDENIM,Mar 2024,66.06,60.19,5.87,8.89%,0.53,5.82,3.82,-3.24,-25.62%,-2.41,-0.94,https://www.screener.in/company/source/quarter/1672/3/2024/
KGDENIM,Jun 2024,66.00,69.96,-3.96,-6.00%,4.06,8.80,3.15,-11.85,-33.33%,-7.90,-3.37,https://www.screener.in/company/source/quarter/1672/6/2024/
KGDENIM,Sep 2024,30.24,44.91,-14.67,-48.51%,20.44,5.63,3.66,-3.52,-25.85%,-2.61,-1.02,https://www.screener.in/company/source/quarter/1672/9/2024/
KGDENIM,Dec 2024,15.04,27.67,-12.63,-83.98%,0.03,0.16,3.66,-16.42,-25.40%,-12.25,-4.72,https://www.screener.in/company/source/quarter/1672/12/2024/
KGDENIM,Mar 2025,12.91,20.89,-7.98,-61.81%,0.01,1.86,3.66,-13.49,-25.50%,-10.05,-3.87,https://www.screener.in/company/source/quarter/1672/3/2025/
KGDENIM,Jun 2025,7.27,7.96,-0.69,-9.49%,7.78,22.49,-2.01,-13.39,-26.21%,-9.88,-4.20,https://www.screener.in/company/source/quarter/1672/6/2025/
SAVERA,Sep 2008,10.11,7.05,3.06,30.27%,0.00,0.95,0.71,1.40,50.00%,0.70,,https://www.screener.in/company/source/quarter/2915/9/2008/
SAVERA,Dec 2008,10.85,7.43,3.42,31.52%,0.00,0.93,0.70,1.79,19.55%,1.44,,https://www.screener.in/company/source/quarter/2915/12/2008/
SAVERA,Mar 2009,10.13,8.20,1.93,19.05%,0.00,0.17,0.86,0.90,121.11%,-0.19,,https://www.screener.in/company/source/quarter/2915/3/2009/
SAVERA,Jun 2009,8.83,7.69,1.14,12.91%,0.12,1.71,0.70,-1.15,24.35%,-1.43,,https://www.screener.in/company/source/quarter/2915/6/2009/
SAVERA,Sep 2009,7.62,5.81,1.81,23.75%,-0.37,0.68,0.57,0.19,194.74%,-0.18,,https://www.screener.in/company/source/quarter/2915/9/2009/
SAVERA,Dec 2009,8.67,5.95,2.72,31.37%,0.00,0.63,0.56,1.53,15.03%,1.30,,https://www.screener.in/company/source/quarter/2915/12/2009/
SAVERA,Mar 2010,8.97,6.79,2.18,24.30%,0.00,0.66,0.59,0.93,47.31%,0.49,,https://www.screener.in/company/source/quarter/2915/3/2010/
SAVERA,Jun 2010,9.97,6.72,3.25,32.60%,-0.38,0.57,0.47,1.83,50.82%,0.90,,https://www.screener.in/company/source/quarter/2915/6/2010/
SAVERA,Sep 2010,10.61,7.40,3.21,30.25%,-0.33,0.61,0.53,1.74,48.85%,0.89,,https://www.screener.in/company/source/quarter/2915/9/2010/
SAVERA,Dec 2010,12.36,8.48,3.88,31.39%,0.00,0.58,0.54,2.76,31.16%,1.90,,https://www.screener.in/company/source/quarter/2915/12/2010/
SAVERA,Mar 2011,11.89,8.58,3.31,27.84%,0.00,0.58,0.61,2.12,14.62%,1.81,1.52,https://www.screener.in/company/source/quarter/2915/3/2011/
SAVERA,Jun 2011,13.12,9.62,3.50,26.68%,0.00,0.59,0.65,2.26,51.77%,1.09,0.91,https://www.screener.in/company/source/quarter/2915/6/2011/
TVSHLTD,Sep 2022,"7,666","6,714",953,12%,47,302,222,475,31%,326,79.21,https://www.screener.in/company/source/quarter/3252/9/2022/
TVSHLTD,Dec 2022,"8,963","7,827","1,136",13%,37,350,238,585,33%,394,105.08,https://www.screener.in/company/source/quarter/3252/12/2022/
TVSHLTD,Mar 2023,"8,475","7,439","1,036",12%,31,354,250,463,38%,289,61.30,https://www.screener.in/company/source/quarter/3252/3/2023/
TVSHLTD,Jun 2023,"8,523","7,376","1,147",13%,36,418,275,490,34%,324,76.02,https://www.screener.in/company/source/quarter/3252/6/2023/
TVSHLTD,Sep 2023,"9,584","8,232","1,351",14%,1,477,265,611,33%,409,97.25,https://www.screener.in/company/source/quarter/3252/9/2023/
TVSHLTD,Dec 2023,"10,607","9,124","1,483",14%,11,517,252,726,37%,457,112.83,https://www.screener.in/company/source/quarter/3252/12/2023/
TVSHLTD,Mar 2024,"10,014","8,474","1,540",15%,7,516,244,787,32%,532,111.03,https://www.screener.in/company/source/quarter/3252/3/2024/
TVSHLTD,Jun 2024,"10,025","8,508","1,517",15%,19,532,264,740,37%,464,114.97,https://www.screener.in/company/source/quarter/3252/6/2024/
TVSHLTD,Sep 2024,"10,383","8,907","1,476",14%,15,517,242,732,34%,481,107.37,https://www.screener.in/company/source/quarter/3252/9/2024/
TVSHLTD,Dec 2024,"11,554","9,878","1,677",15%,8,522,261,901,34%,599,137.76,https://www.screener.in/company/source/quarter/3252/12/2024/
TVSHLTD,Mar 2025,"11,359","9,544","1,815",16%,22,551,260,"1,026",33%,685,191.11,https://www.screener.in/company/source/quarter/3252/3/2025/
TVSHLTD,Jun 2025,"11,800","9,908","1,893",16%,18,635,309,967,33%,644,140.09,https://www.screener.in/company/source/quarter/3252/6/2025/
3PLAND,Dec 2022,1.15,0.12,1.03,89.57%,0.00,0.00,0.02,1.01,25.74%,0.75,0.42,https://www.screener.in/company/source/quarter/2591/12/2022/
3PLAND,Mar 2023,0.48,0.09,0.39,81.25%,0.00,0.00,0.02,0.37,24.32%,0.28,0.16,https://www.screener.in/company/source/quarter/2591/3/2023/
3PLAND,Jun 2023,0.47,0.09,0.38,80.85%,0.00,0.00,0.02,0.36,25.00%,0.27,0.15,https://www.screener.in/company/source/quarter/2591/6/2023/
3PLAND,Sep 2023,0.47,0.10,0.37,78.72%,0.00,0.00,0.02,0.35,25.71%,0.26,0.14,https://www.screener.in/company/source/quarter/2591/9/2023/
3PLAND,Dec 2023,1.31,0.22,1.09,83.21%,0.00,0.00,0.02,1.07,25.23%,0.80,0.44,https://www.screener.in/company/source/quarter/2591/12/2023/
3PLAND,Mar 2024,0.89,0.35,0.54,60.67%,0.00,0.00,0.02,0.52,25.00%,0.39,0.22,https://www.screener.in/company/source/quarter/2591/3/2024/
3PLAND,Jun 2024,0.89,0.39,0.50,56.18%,0.00,0.00,0.02,0.48,25.00%,0.36,0.20,https://www.screener.in/company/source/quarter/2591/6/2024/
3PLAND,Sep 2024,0.89,0.37,0.52,58.43%,0.00,0.00,0.01,0.51,25.49%,0.38,0.21,https://www.screener.in/company/source/quarter/2591/9/2024/
3PLAND,Dec 2024,1.74,0.45,1.29,74.14%,0.00,0.00,0.01,1.28,25.78%,0.95,0.53,https://www.screener.in/company/source/quarter/2591/12/2024/
3PLAND,Mar 2025,0.93,0.40,0.53,56.99%,0.00,0.00,0.01,0.52,25.00%,0.38,0.21,https://www.screener.in/company/source/quarter/2591/3/2025/
3PLAND,Jun 2025,0.91,0.46,0.45,49.45%,0.01,0.00,0.01,0.45,17.78%,0.37,0.21,https://www.screener.in/company/source/quarter/2591/6/2025/
3PLAND,Sep 2025,0.91,0.41,0.50,54.95%,0.00,0.00,0.01,0.49,24.49%,0.37,0.21,https://www.screener.in/company/source/quarter/2591/9/2025/
SELMC,Jun 2021,32,120,-89,-280%,"2,711",1,-1,"2,622",0%,"2,622",791.38,https://www.screener.in/company/source/quarter/2935/6/2021/
SELMC,Sep 2021,80,87,-7,-9%,1,7,28,-42,0%,-42,-12.54,https://www.screener.in/company/source/quarter/2935/9/2021/
SELMC,Dec 2021,107,113,-6,-5%,2,7,26,-37,0%,-37,-11.24,https://www.screener.in/company/source/quarter/2935/12/2021/
SELMC,Mar 2022,117,114,3,3%,1,7,26,-28,0%,-28,-8.54,https://www.screener.in/company/source/quarter/2935/3/2022/
SELMC,Jun 2022,116,112,3,3%,6,8,25,-24,0%,-24,-7.30,https://www.screener.in/company/source/quarter/2935/6/2022/
SELMC,Sep 2022,118,138,-20,-17%,7,11,27,-51,0%,-51,-15.35,https://www.screener.in/company/source/quarter/2935/9/2022/
SELMC,Dec 2022,66,82,-17,-26%,24,10,25,-28,0%,-28,-8.40,https://www.screener.in/company/source/quarter/2935/12/2022/
SELMC,Mar 2023,143,154,-11,-8%,2,11,25,-45,0%,-45,-13.64,https://www.screener.in/company/source/quarter/2935/3/2023/
SELMC,Jun 2023,228,252,-23,-10%,-2,12,25,-62,0%,-62,-18.72,https://www.screener.in/company/source/quarter/2935/6/2023/
SELMC,Sep 2023,238,262,-24,-10%,1,15,24,-62,0%,-62,-18.68,https://www.screener.in/company/source/quarter/2935/9/2023/
SELMC,Dec 2023,96,117,-21,-22%,-2,15,24,-62,0%,-62,-18.58,https://www.screener.in/company/source/quarter/2935/12/2023/
SELMC,Mar 2024,12,18,-6,-52%,17,15,24,-28,0%,-28,-8.43,https://www.screener.in/company/source/quarter/2935/3/2024/
HITECH,Sep 2022,516,498,18,3%,1,10,2,6,26%,4,0.37,https://www.screener.in/company/source/quarter/1273262/9/2022/
HITECH,Dec 2022,599,575,24,4%,-6,10,2,6,24%,4,0.35,https://www.screener.in/company/source/quarter/1273262/12/2022/
HITECH,Mar 2023,569,541,28,5%,1,8,4,17,25%,13,1.06,https://www.screener.in/company/source/quarter/1273262/3/2023/
HITECH,Jun 2023,702,668,34,5%,0,8,5,21,23%,16,1.24,https://www.screener.in/company/source/quarter/1273262/6/2023/
HITECH,Sep 2023,642,621,21,3%,0,8,3,11,26%,8,0.61,https://www.screener.in/company/source/quarter/1273262/9/2023/
HITECH,Dec 2023,746,719,27,4%,1,10,3,14,25%,11,0.80,https://www.screener.in/company/source/quarter/1273262/12/2023/
HITECH,Mar 2024,630,599,32,5%,0,9,4,19,25%,14,1.05,https://www.screener.in/company/source/quarter/1273262/3/2024/
HITECH,Jun 2024,681,646,35,5%,-0,14,6,15,25%,11,0.74,https://www.screener.in/company/source/quarter/1273262/6/2024/
HITECH,Sep 2024,867,824,43,5%,1,14,5,24,25%,18,1.14,https://www.screener.in/company/source/quarter/1273262/9/2024/
HITECH,Dec 2024,706,664,42,6%,1,14,5,24,26%,18,1.03,https://www.screener.in/company/source/quarter/1273262/12/2024/
HITECH,Mar 2025,761,721,40,5%,0,9,6,26,25%,19,0.94,https://www.screener.in/company/source/quarter/1273262/3/2025/
HITECH,Jun 2025,734,699,35,5%,0,7,4,24,27%,18,0.87,https://www.screener.in/company/source/quarter/1273262/6/2025/
WANBURY,Sep 2022,117,120,-3,-3%,2,3,3,-7,-3%,-7,-2.21,https://www.screener.in/company/source/quarter/3726/9/2022/
WANBURY,Dec 2022,124,118,6,5%,1,4,3,-1,25%,-1,-0.27,https://www.screener.in/company/source/quarter/3726/12/2022/
WANBURY,Mar 2023,126,119,6,5%,0,7,3,-3,8%,-3,-1.00,https://www.screener.in/company/source/quarter/3726/3/2023/
WANBURY,Jun 2023,133,119,14,11%,-3,8,3,1,-11%,1,0.31,https://www.screener.in/company/source/quarter/3726/6/2023/
WANBURY,Sep 2023,146,133,13,9%,1,6,3,5,6%,5,1.43,https://www.screener.in/company/source/quarter/3726/9/2023/
WANBURY,Dec 2023,144,127,17,12%,1,8,3,7,-2%,7,2.25,https://www.screener.in/company/source/quarter/3726/12/2023/
WANBURY,Mar 2024,146,124,21,15%,1,8,3,10,-0%,10,3.14,https://www.screener.in/company/source/quarter/3726/3/2024/
WANBURY,Jun 2024,139,121,18,13%,26,7,3,34,1%,34,10.27,https://www.screener.in/company/source/quarter/3726/6/2024/
WANBURY,Sep 2024,131,120,11,8%,1,8,3,1,0%,1,0.32,https://www.screener.in/company/source/quarter/3726/9/2024/
WANBURY,Dec 2024,161,141,20,12%,2,10,3,8,2%,8,2.45,https://www.screener.in/company/source/quarter/3726/12/2024/
WANBURY,Mar 2025,133,120,14,10%,1,10,3,1,5%,1,0.37,https://www.screener.in/company/source/quarter/3726/3/2025/
WANBURY,Jun 2025,172,142,30,17%,2,9,3,19,-6%,20,6.18,https://www.screener.in/company/source/quarter/3726/6/2025/
SUNDARAM,Sep 2018,34.99,30.01,4.98,14.23%,0.77,1.90,0.60,3.25,0.00%,3.26,0.12,https://www.screener.in/company/source/quarter/3254/9/2018/
SUNDARAM,Dec 2018,18.32,15.59,2.73,14.90%,0.66,1.78,0.69,0.92,0.00%,0.92,0.03,https://www.screener.in/company/source/quarter/3254/12/2018/
SUNDARAM,Mar 2019,14.16,11.88,2.28,16.10%,0.66,1.96,0.99,-0.01,0.00%,-0.01,-0.00,https://www.screener.in/company/source/quarter/3254/3/2019/
SUNDARAM,Jun 2019,32.12,27.37,4.75,14.79%,0.00,1.76,1.30,1.69,0.00%,1.69,0.06,https://www.screener.in/company/source/quarter/3254/6/2019/
SUNDARAM,Sep 2019,38.04,33.45,4.59,12.07%,0.67,3.69,0.83,0.74,0.00%,0.74,0.03,https://www.screener.in/company/source/quarter/3254/9/2019/
SUNDARAM,Dec 2019,18.52,16.34,2.18,11.77%,-0.41,1.73,0.88,-0.84,0.00%,-0.85,-0.03,https://www.screener.in/company/source/quarter/3254/12/2019/
SUNDARAM,Mar 2020,14.65,15.46,-0.81,-5.53%,3.89,2.24,0.85,-0.01,0.00%,-0.02,-0.00,https://www.screener.in/company/source/quarter/3254/3/2020/
AWFIS,Jun 2023,159.97,111.92,48.05,30.04%,4.88,21.04,45.74,-13.85,0.00%,-13.85,,https://www.screener.in/company/source/quarter/1284789/6/2023/
AWFIS,Sep 2023,187.70,136.85,50.85,27.09%,5.01,20.93,43.23,-8.30,0.00%,-8.31,,https://www.screener.in/company/source/quarter/1284789/9/2023/
